magitud,continent,location,tsunami,magType,% Terremotos con Alerta,Cantidad de terremotos,Year,alert
7,Africa,"Chipinge, Zimbabwe",0,mwb,0.1287001287001287,1,2006,green
6.8,Africa,"Dellys, Algeria",0,mwc,0.1287001287001287,1,2003,green
6.8,Africa,"Kalemie, Democratic Republic",0,mwc,0.1287001287001287,1,2005,green
6.7,Africa,Mauritius - Reunion region,0,mww,0.1287001287001287,1,2021,green
6.5,Africa,"Moijabana, Botswana",0,mww,0.1287001287001287,1,2017,green
6.6,Africa,northern Mid-Atlantic Ridge,1,mww,0.1287001287001287,1,2013,green
7,Asia,"Abepura, Indonesia",1,mww,0.1287001287001287,1,2013,green
7,Asia,"Abepura, Indonesia",1,mww,0.1287001287001287,1,2015,green
6.5,Asia,"Abhar, Iran",0,mwc,0.1287001287001287,1,2002,green
6.6,Asia,Afghanistan-Tajikistan-Pakistan region,0,mwb,0.1287001287001287,1,2004,green
14,Asia,"Aktash, Russia",0,mwb,0.2574002574002574,1,2003,green
7.3,Asia,"alabja, Iraq",0,mww,0.1287001287001287,1,2017,red
6.9,Asia,"Amahai, Indonesia",0,mww,0.1287001287001287,1,2015,green
6.7,Asia,"Ambon, Indonesia",0,mwb,0.1287001287001287,1,2004,green
6.7,Asia,"Ambon, Indonesia",0,mwb,0.1287001287001287,1,2006,green
6.5,Asia,"Ambon, Indonesia",0,mwc,0.1287001287001287,1,2001,green
7.9,Asia,"arai, Japan",0,mwc,0.1287001287001287,1,2011,green
6.5,Asia,"Ashksham, Afghanistan",0,mwb,0.1287001287001287,1,2005,green
6.6,Asia,"Ashksham, Afghanistan",0,mww,0.1287001287001287,1,2016,green
6.9,Asia,"Atlasovo, Russia",0,mwb,0.1287001287001287,1,2003,green
6.9,Asia,"Atlasovo, Russia",0,mwb,0.1287001287001287,1,2004,green
6.6,Asia,"Bam, Iran",0,mwc,0.1287001287001287,1,2003,green
6.7,Asia,"Bam, Iran",0,mwc,0.1287001287001287,1,2010,green
6.5,Asia,"Bamboo Flat, India",0,mwc,0.1287001287001287,1,2002,green
6.6,Asia,"Bamboo Flat, India",0,mwc,0.1287001287001287,1,2008,green
7.5,Asia,"Bamboo Flat, India",0,mwc,0.1287001287001287,1,2009,green
6.6,Asia,"Bamboo Flat, India",0,mwc,0.1287001287001287,1,2010,green
7.1,Asia,Banda Sea,0,mwb,0.1287001287001287,1,2005,green
7.1,Asia,Banda Sea,0,mww,0.1287001287001287,1,2012,green
6.8,Asia,Banda Sea,0,mww,0.1287001287001287,1,2020,green
7,Asia,"Banjar, Indonesia",0,mwc,0.1287001287001287,1,2009,green
7,Asia,"Bantay, Philippines",1,mww,0.1287001287001287,1,2022,yellow
7.6,Asia,"Bantogon, Philippines",0,mwc,0.1287001287001287,1,2010,green
6.6,Asia,"Batang, Indonesia",0,mww,0.1287001287001287,1,2020,green
7.7,Asia,"Bela, Pakistan",0,mww,0.1287001287001287,1,2013,red
6.6,Asia,"Belaya Gora, Russia",1,mww,0.1287001287001287,1,2013,green
6.9,Asia,"Bengkulu, Indonesia",0,mwb,0.1287001287001287,1,2001,green
7.4,Asia,"Bengkulu, Indonesia",0,mwc,0.1287001287001287,1,2001,green
6.8,Asia,"Bengkulu, Indonesia",0,mwc,0.1287001287001287,1,2007,green
6.8,Asia,"Bengkulu, Indonesia",0,mwc,0.1287001287001287,1,2010,green
8.4,Asia,"Bengkulu, Indonesia",0,mww,0.1287001287001287,1,2007,green
13.7,Asia,"Bengkulu, Indonesia",0,mww,0.2574002574002574,1,2020,green
6.9,Asia,"Bengkulu, Indonesia",0,mww,0.1287001287001287,1,2022,green
7.7,Asia,"Bhachu, India",0,mwc,0.1287001287001287,1,2001,green
7.8,Asia,"Bharatpur, Nepal",0,mww,0.1287001287001287,1,2015,red
6.6,Asia,"Bharatpur, Nepal",0,mww,0.1287001287001287,1,2015,yellow
13.6,Asia,"Biak, Indonesia",0,mwc,0.2574002574002574,1,2010,green
6.6,Asia,"Bima, Indonesia",0,mwc,0.1287001287001287,1,2009,green
7.1,Asia,"Bitung, Indonesia",1,mww,0.1287001287001287,1,2019,green
13,Asia,"Blenheim, New Zealand",2,mww,0.2574002574002574,1,2013,yellow
6.5,Asia,"Blenheim, New Zealand",1,mww,0.1287001287001287,1,2016,yellow
14.3,Asia,"Bonin Islands, Japan region",1,mww,0.2574002574002574,1,2015,green
6.9,Asia,"Burias, Philippines",1,mww,0.1287001287001287,1,2017,green
6.5,Asia,"Can-Avid, Philippines",0,mwb,0.1287001287001287,1,2003,green
6.8,Asia,"Chauk, Myanmar",0,mww,0.1287001287001287,1,2016,yellow
6.6,Asia,"Chitose, Japan",1,mww,0.1287001287001287,1,2018,orange
6.6,Asia,"Columbio, Philippines",1,mww,0.1287001287001287,1,2019,yellow
7.2,Asia,"Dalbandin, Pakistan",0,mww,0.1287001287001287,1,2011,green
6.7,Asia,"Doanyol, Turkey",0,mww,0.1287001287001287,1,2020,orange
13,Asia,"Dompu, Indonesia",0,mwc,0.2574002574002574,1,2007,green
7.3,Asia,Flores Sea,1,mww,0.1287001287001287,1,2021,green
7,Asia,"funato, Japan",0,mwb,0.1287001287001287,1,2003,green
7.3,Asia,"funato, Japan",0,mww,0.1287001287001287,1,2011,green
7.3,Asia,"funato, Japan",0,mww,0.1287001287001287,1,2012,green
6.8,Asia,"funato, Japan",1,mww,0.1287001287001287,1,2015,green
7.4,Asia,"Gorontalo, Indonesia",0,mww,0.1287001287001287,1,2008,green
9.1,Asia,"Great Tohoku Earthquake, Japan",0,mww,0.1287001287001287,1,2011,green
6.5,Asia,"Hanamaki, Japan",0,mwc,0.1287001287001287,1,2001,green
6.5,Asia,"Hasaki, Japan",0,mb,0.1287001287001287,1,2011,green
6.9,Asia,"Hasaki, Japan",0,mwc,0.1287001287001287,1,2008,green
7.1,Asia,"Hengchun, Taiwan",0,mwb,0.1287001287001287,1,2006,green
6.9,Asia,"Hengchun, Taiwan",0,mwc,0.1287001287001287,1,2006,green
7.5,Asia,"Hindu Kush region, Afghanistan",0,mww,0.1287001287001287,1,2015,orange
6.6,Asia,"Hirara, Japan",1,mww,0.1287001287001287,1,2021,green
7.2,Asia,"Hotan, China",0,mwc,0.1287001287001287,1,2008,green
6.9,Asia,"Hotan, China",0,mww,0.1287001287001287,1,2014,yellow
7.1,Asia,"Hualien City, Taiwan",0,mwc,0.1287001287001287,1,2002,green
6.7,Asia,"Hualien City, Taiwan",1,mww,0.1287001287001287,1,2022,green
6.7,Asia,"Hukay, Philippines",1,mww,0.1287001287001287,1,2021,green
6.7,Asia,"Imphl, India",0,mww,0.1287001287001287,1,2016,orange
6.6,Asia,"Ishikawa, Japan",0,mww,0.1287001287001287,1,2011,green
7,Asia,"Ishinomaki, Japan",0,mwb,0.1287001287001287,1,2003,green
13.7,Asia,"Ishinomaki, Japan",0,mwc,0.2574002574002574,1,2005,green
7.1,Asia,"Ishinomaki, Japan",0,mww,0.1287001287001287,1,2011,green
7,Asia,"Ishinomaki, Japan",1,mww,0.1287001287001287,1,2021,yellow
6.5,Asia,"Izu Islands, Japan region",0,mww,0.1287001287001287,1,2013,green
6.7,Asia,"Java, Indonesia",0,mww,0.1287001287001287,1,2013,green
6.7,Asia,"Jimalalud, Philippines",0,mww,0.1287001287001287,1,2012,green
6.7,Asia,"Jumla, Nepal",0,mwc,0.1287001287001287,1,2008,green
7.4,Asia,"Jurm, Afghanistan",0,mwc,0.1287001287001287,1,2002,green
6.6,Asia,"Jurm, Afghanistan",0,mwc,0.1287001287001287,1,2009,green
6.7,Asia,"Kabanjahe, Indonesia",0,mww,0.1287001287001287,1,2011,green
6.5,Asia,"Kairatu, Indonesia",1,mww,0.1287001287001287,1,2019,yellow
7.7,Asia,"Kamaishi, Japan",0,mwc,0.1287001287001287,1,2011,green
6.6,Asia,"Kangding, China",0,mww,0.1287001287001287,1,2022,orange
6.6,Asia,"Kashiwazaki, Japan",0,mwc,0.1287001287001287,1,2007,green
6.5,Asia,"Katabu, Indonesia",0,mwb,0.1287001287001287,1,2005,green
6.9,Asia,"Katabu, Indonesia",0,mww,0.1287001287001287,1,2020,green
7,Asia,"Katsuren-haebaru, Japan",0,mwc,0.1287001287001287,1,2010,green
6.6,Asia,"Katsuura, Japan",0,mwc,0.1287001287001287,1,2005,green
6.5,Asia,"Kawalu, Indonesia",0,mww,0.1287001287001287,1,2017,green
7.5,Asia,"Kendari, Indonesia",0,mwc,0.1287001287001287,1,2001,green
6.5,Asia,"Kepulauan Mentawai region, Indonesia",0,mwc,0.1287001287001287,1,2007,green
7.7,Asia,"Khsh, Iran",0,mww,0.1287001287001287,1,2013,yellow
6.8,Asia,"Khuzdar, Pakistan",0,mww,0.1287001287001287,1,2013,orange
